City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Chokurdakh,RU,2020-02-23 08:30:57,70.63,147.92,-17.63,98,90,1.92
141,Birjand,IR,2020-02-23 08:30:54,32.87,59.22,66.2,31,20,16.11
142,Koplik,AL,2020-02-23 08:30:57,42.21,19.44,48.2,47,45,5.82
143,Chernyshevskiy,RU,2020-02-23 08:30:58,63.01,112.47,1.26,95,91,4.68
144,Barillas,GT,2020-02-23 08:30:58,15.8,-91.32,53.04,97,100,3.87
145,Aginskoye,RU,2020-02-23 08:30:58,51.1,114.53,20.32,79,0,10.58
146,Bredasdorp,ZA,2020-02-23 08:30:58,-34.53,20.04,73.4,38,0,17.22
147,Yokadouma,CM,2020-02-23 08:30:59,3.52,15.05,91.27,30,94,3.58
148,Qaanaaq,GL,2020-02-23 08:30:59,77.48,-69.36,-13.05,92,100,1.57
149,Rocha,UY,2020-02-23 08:30:59,-34.48,-54.33,51.4,92,0,2.98
150,Nanortalik,GL,2020-02-23 08:30:17,60.14,-45.24,26.35,75,100,4.0
151,Suksun,RU,2020-02-23 08:30:59,57.14,57.39,30.27,86,100,14.9
152,Mayo,US,2020-02-23 08:31:00,38.89,-76.51,34.0,86,1,2.62
153,Arucas,ES,2020-02-23 08:31:00,28.12,-15.52,75.0,35,23,6.93
154,Eidsvag,NO,2020-02-23 08:31:00,62.78,8.07,37.4,59,75,35.57
155,Meulaboh,ID,2020-02-23 08:31:00,4.14,96.13,84.99,69,11,11.21
156,Terme,TR,2020-02-23 08:31:00,41.21,36.97,44.6,75,75,6.93
157,Beira,MZ,2020-02-23 08:31:01,-19.84,34.84,91.4,63,20,8.05
158,Lianzhou,CN,2020-02-23 08:31:01,24.78,112.38,72.52,57,0,7.47
159,Lusambo,CD,2020-02-23 08:31:01,-4.97,23.45,78.73,93,100,1.7
160,San Luis,AR,2020-02-23 08:31:01,-33.3,-66.34,60.51,48,0,8.9
161,Luderitz,NA,2020-02-23 08:30:25,-26.65,15.16,75.2,57,0,12.75
162,Kintampo,GH,2020-02-23 08:31:02,8.06,-1.73,86.13,59,0,6.29
