City_ID,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description,Rain inches last 3 hours,Snow inches last 3 hours
355,355,Vestmannaeyjar,63.44,-20.27,40.78,63,100,27.31,IS,2020-02-23 21:47:46,light snow,0.0,0.88
356,356,Khutar,28.2,80.28,61.75,70,6,2.86,IN,2020-02-23 21:47:46,clear sky,0.0,0.0
357,357,Saint Anthony,45.02,-93.22,44.6,48,1,11.41,US,2020-02-23 21:43:49,clear sky,0.0,0.0
358,358,Byron Bay,-28.65,153.62,73.99,94,90,5.82,AU,2020-02-23 21:45:49,overcast clouds,0.0,0.0
359,359,Lorengau,-2.02,147.27,83.32,71,72,5.12,PG,2020-02-23 21:47:47,broken clouds,0.0,0.0
360,360,Constitucion,-35.33,-72.42,61.25,82,67,6.71,CL,2020-02-23 21:47:47,broken clouds,0.0,0.0
361,361,Weihai,37.5,122.11,40.77,84,10,14.23,CN,2020-02-23 21:47:47,clear sky,0.0,0.0
362,362,Sawakin,19.11,37.33,73.99,82,100,13.49,SD,2020-02-23 21:47:47,light rain,0.13,0.0
363,363,Melito Di Porto Salvo,37.92,15.77,57.99,71,40,13.87,IT,2020-02-23 21:45:37,scattered clouds,0.0,0.0
364,364,Cururupu,-1.83,-44.87,79.74,82,28,4.56,BR,2020-02-23 21:47:48,light rain,0.44,0.0
365,365,Port Hedland,-20.32,118.57,78.8,78,70,6.93,AU,2020-02-23 21:47:48,broken clouds,0.0,0.0
366,366,Mount Hagen,-5.86,144.23,53.35,98,100,1.74,PG,2020-02-23 21:43:03,moderate rain,11.38,0.0
367,367,Aketi,2.74,23.78,81.88,35,100,3.2,CD,2020-02-23 21:43:02,overcast clouds,0.0,0.0
368,368,Palencia,42.42,-4.5,50.0,80,0,1.99,ES,2020-02-23 21:47:49,clear sky,0.0,0.0
369,369,Semnan,35.57,53.4,49.06,57,0,1.95,IR,2020-02-23 21:47:49,clear sky,0.0,0.0
370,370,La Trinidad,16.45,120.59,66.33,74,100,5.91,PH,2020-02-23 21:47:49,overcast clouds,0.0,0.0
371,371,Port Macquarie,-31.43,152.92,68.0,100,75,5.82,AU,2020-02-23 21:47:03,broken clouds,0.0,0.0
