City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description,Rain inches last 3 hours,Snow inches last 3 hours
472,Santa Rosalia,27.32,-112.28,61.47,36,100,7.87,MX,2020-02-24 01:00:25,overcast clouds,0,0
473,Ubatuba,-23.43,-45.07,73.85,72,97,10.45,BR,2020-02-24 00:59:23,overcast clouds,0,0
474,Ardesen,41.19,40.99,39.2,93,20,4.7,TR,2020-02-24 01:00:26,few clouds,0,0
475,Marzuq,14.4,46.47,58.42,23,1,3.53,YE,2020-02-24 01:00:26,clear sky,0,0
476,Fallon,39.47,-118.78,64.4,23,75,16.11,US,2020-02-24 00:58:10,broken clouds,0,0
477,Makasar,-5.14,119.42,82.4,88,20,3.36,ID,2020-02-24 01:00:27,few clouds,0,0
478,Sines,37.96,-8.87,55.99,89,0,4.0,PT,2020-02-24 01:00:27,clear sky,0,0
479,Oranjemund,-28.55,16.43,71.67,47,0,2.71,NA,2020-02-24 01:00:27,clear sky,0,0
480,Beyneu,45.32,55.2,41.41,87,100,17.67,KZ,2020-02-24 01:00:27,light rain,1.19,0
481,Reconquista,-29.15,-59.65,70.45,47,0,6.08,AR,2020-02-24 01:00:27,clear sky,0,0
482,Ust-Uda,54.17,103.03,-2.24,99,46,1.48,RU,2020-02-24 01:00:28,scattered clouds,0,0
483,Tambun,-6.26,107.07,84.99,100,75,8.05,ID,2020-02-24 01:00:28,light rain,0,0
484,Yerbogachen,61.28,108.01,15.89,90,100,11.99,RU,2020-02-24 00:59:17,overcast clouds,0,0
485,Qadirpur Ran,30.29,71.67,60.8,77,75,5.93,PK,2020-02-24 01:00:29,smoke,0,0
486,Belmonte,-15.86,-38.88,78.8,78,75,3.36,BR,2020-02-24 01:00:29,broken clouds,0,0
487,Turiacu,-1.66,-45.37,77.32,90,30,4.16,BR,2020-02-24 01:00:29,scattered clouds,0,0
488,Sangar,63.92,127.47,-16.78,99,100,0.38,RU,2020-02-24 01:00:29,overcast clouds,0,0
